	X0100.015.007	X0285.015.009	X1000.015.002	X1005.015.008	X1009.015.013	X1011.015.015	X1013.015.017	X1015.015.019	X1016.015.020	X1017.015.021	X1018.015.022	X1019.015.023	X1051.016.036	X1058.016.043	X1084.016.071	X1089.016.076	X1092.016.079	X1106.016.093	X1150.016.137	X1155.016.142	X1158.016.145	X1161.016.148	X1163.016.150	X1184.016.171	X1190.016.177	X1195.016.182	X1204.016.191	X1435.019.073	X1480.019.118	X1484.019.122	X1486.019.124	X1500.019.138	X1503.019.141	X1504.019.142	X1526.019.164	X1535.019.173	X1537.019.175	X1541.019.179	X1542.019.180	X1543.019.181	X1544.019.182	X1545.019.183	X1547.019.185	X1551.019.189	X1553.019.191	X1554.019.192	X1555.019.193	X1556.019.194	X1557.019.195	X1558.019.196	X1559.019.197	X1563.019.201	X1564.019.202	X1565.019.203	X1566.019.204	X1567.019.205	X1568.019.206	X1569.019.207	X1571.019.209	X1573.019.211	X1575.019.213	X1576.019.214	X1581.019.219
TNF-alpha Signaling via NF-kB	c("CXCL11", "CXCL10", "PTX3", "BMP2", "SIK1", "CCL2", "AREG", "CCL4", "CXCL6", "DUSP5", "TNFSF9", "IL7R", "FOSL1", "GFPT2", "EGR2", "HBEGF", "IL12B", "LDLR", "MAFF", "DUSP2", "ICOSLG", "EDN1", "GEM", "NR4A1", "BHLHE40", "FOSB", "CCN1", "INHBA", "PHLDA2", "IL23A", "CD83", "CXCL3", "CXCL2", "GADD45B", "PMEPA1", "EGR3", "PLK2", "CCL5", "PTGER4", "NFKBIA", "LIF", "TRIB1", "MXD1", "SLC2A6", "ATF3", "BCL3", "CD69", "BIRC3", "ZC3H12A", "FOSL2", "DUSP4", "IER3", "TRIP10", "CCL20", "NR4A2", "PER1", "IER5", 
"IRS2", "ETS2", "B4GALT5", "LAMB3", "TNFAIP2", "KLF4", "CXCL1", "KLF6", "KLF9", "TNFAIP3", "SPHK1", "EGR1", "PLAU", "ZFP36", "JUN", "MYC", "SERPINB2", "SERPINB8", "GADD45A", "PHLDA1", "CD44", "IER2", "F3", "IL15RA", "REL", "KYNU", "CSF1", "NFKBIE", "TNF", "PDLIM5", "ACKR3", "NFKB2", "NAMPT", "IL1A", "TNIP1", "JUNB", "KDM6B", "CCRL2", "RELB", "BTG1", "CEBPD", "EHD1", "RNF19B", "MAP2K3", "ABCA1", "JAG1", "VEGFA", "PLAUR", "TNIP2", "YRDC", "CDKN1A", "IFNGR2", "SAT1", "PLPP3", "TGIF1", "MCL1", "SGK1", 
"SNN", "DUSP1", "RCAN1")	c("CCL2", "CSF2", "MSC", "FOSB", "BCL2A1", "IL7R", "FOS", "CD83", "INHBA", "TNF", "EGR2", "BMP2", "PHLDA2", "SIK1", "EGR3", "DUSP5", "SLC2A3", "EGR1", "PMEPA1", "CD80", "PDE4B", "NR4A1", "PLEK", "OLR1", "ICOSLG", "ABCA1", "SLC2A6", "GPR183", "IL6", "CCL20", "FOSL1", "CCL5", "DUSP2", "IL15RA", "TNFSF9", "ZC3H12A", "IRS2", "KYNU", "CXCL2", "ICAM1", "DUSP4", "GADD45A", "JUNB", "CCN1", "ZFP36", "CSF1", "SLC16A6", "EHD1", "SERPINB2", "FOSL2", "PTPRE", "REL", "MAFF", "IL12B", "KLF4", "PLAUR", "BCL3", "TRIP10", 
"TNFAIP2", "SERPINB8", "LDLR", "NAMPT", "CEBPB", "NFKBIE", "B4GALT5", "TRAF1", "MYC", "CCRL2", "RNF19B", "MAP3K8", "MXD1", "IER2", "CDKN1A", "DUSP1", "HBEGF", "RIPK2", "BIRC3", "IER5", "YRDC", "LITAF", "CLCF1", "PDLIM5", "STAT5A", "IRF1", "ETS2", "NFKBIA", "BHLHE40", "TUBB2A", "RELB", "KLF9", "PLK2", "NR4A2", "NFIL3", "AREG", "IER3")	c("IL12B", "NR4A3", "EGR3", "CXCL3", "NR4A1", "SERPINE1", "CXCL10", "CCL2", "EGR1", "LIF", "AREG", "FOS", "ATF3", "INHBA", "FOSB", "CXCL11", "LDLR", "CCRL2", "EDN1", "FOSL1", "TNFSF9", "CCL4", "CXCL2", "KLF2", "HBEGF", "IL1B", "CCL5", "IL6", "DNAJB4", "PLAUR", "CXCL1", "DUSP1", "TNFAIP3", "BIRC3", "SLC2A3", "IRF1", "SERPINB2", "KLF9", "SLC16A6", "KLF6", "OLR1", "G0S2", "PTGER4", "JUN", "PDE4B", "DUSP4", "MSC", "PMEPA1", "PLK2", "CLCF1", "IRS2", "MYC", "BCL2A1", "NR4A2", "LAMB3", "CDKN1A", "DUSP2", 
"PPP1R15A", "PER1", "TLR2", "FUT4", "TNFRSF9", "TUBB2A", "NAMPT", "TRIB1", "PTGS2", "ZBTB10", "EGR2", "YRDC", "IFIT2", "PLAU", "SPSB1", "TNFAIP8", "TNFAIP2", "PLEK", "SIK1", "BTG3", "KDM6B", "TGIF1", "CCND1", "ZFP36", "RELB")	c("IL1B", "BCL2A1", "CXCL11", "PTX3", "TNFAIP6", "G0S2", "SLC2A3", "INHBA", "IL1A", "CCL2", "NR4A3", "PLEK", "PDE4B", "EGR3", "TNFRSF9", "CD69", "OLR1", "PLAUR", "CXCL10", "CCL20", "CCN1", "TNFSF9", "ICAM1", "IL23A", "CXCL2", "CCRL2", "DUSP5", "FOSB", "IL7R", "KLF6", "AREG", "EGR2", "CXCL3", "GPR183", "NR4A2", "TNF", "CD80", "CXCL6", "BMP2", "NR4A1", "MXD1", "CD83", "PFKFB3", "IFIT2", "EGR1", "DUSP1", "CCL4", "EDN1", "GEM", "CXCL1", "ZFP36", "FOSL1", "FOS", "MAP3K8", "DDX58", "PLAU", "KDM6B", "TNFAIP3", 
"KLF2", "ABCA1", "MAP2K3", "EHD1", "SOD2", "HBEGF", "MAFF", "SOCS3", "VEGFA", "TAP1", "PTGS2", "PPP1R15A", "NFKBIE", "DUSP2", "RCAN1", "IFIH1", "SIK1", "BTG2", "GADD45B", "NAMPT", "LAMB3", "NFKBIA", "B4GALT1", "JUNB", "F2RL1", "IRF1", "PTPRE", "PLK2", "ATF3", "ZC3H12A", "IRS2", "ICOSLG", "KYNU", "TRIP10", "NFIL3", "PMEPA1", "IL6", "CLCF1", "RIPK2", "LITAF", "IER2", "PDLIM5", "TNFAIP2", "GADD45A", "NFKB2", "TGIF1", "CDKN1A", "SLC2A6", "RNF19B", "TRIB1", "PNRC1", "KLF4", "MARCKS")	c("CCL20", "CSF2", "FOSB", "AREG", "EGR2", "IL1B", "IL1A", "BCL2A1", "IL7R", "TNFSF9", "PLAUR", "DUSP2", "CCL2", "PLAU", "CD80", "IL23A", "PTGS2", "DUSP5", "TNF", "ZC3H12A", "SOCS3", "CXCL2", "CXCL3", "PLEK", "TNFRSF9", "LIF", "CD83", "FOSL1", "CXCL6", "KYNU", "CD69", "ICAM1", "BCL3", "ATF3", "CCL4", "ABCA1", "ID2", "BIRC3", "MAFF", "SLC2A3", "PHLDA2", "CLCF1", "RELB", "EGR3", "CCRL2", "GPR183", "TNFAIP2", "TLR2", "SIK1", "CXCL11", "GADD45A", "NAMPT", "MXD1", "GADD45B", "PHLDA1", "REL", "PDE4B", 
"CXCL1", "VEGFA", "NFKB2", "SAT1", "JUN", "MAP3K8", "IER3", "DUSP4", "NR4A1", "JUNB", "IFIT2", "HBEGF", "NFKBIA", "EFNA1", "SOD2", "SGK1", "TRIB1", "OLR1", "BHLHE40", "DUSP1", "TGIF1", "FOSL2", "ZFP36", "SQSTM1", "NR4A2", "KLF4", "NFKBIE", "SERPINB2", "B4GALT5", "EHD1", "RIPK2", "RNF19B", "DDX58", "SNN", "CEBPD", "SLC2A6", "CXCL10", "TNFAIP3", "MSC", "DRAM1", "F2RL1", "GCH1", "BTG2", "BTG1", "EDN1", "CEBPB", "PTGER4", "ETS2", "IRF1", "STAT5A", "EGR1", "TRIP10", "G0S2", "SERPINB8", "NR4A3", "TAP1", 
"PPP1R15A", "KLF6", "TNIP1", "KLF2", "IL12B", "TNIP2", "GEM", "KLF9", "BMP2", "IER2", "PLK2")	c("CCL20", "TNFAIP6", "FOS", "FOSB", "EGR3", "EGR1", "FOSL1", "CCRL2", "TNFSF9", "TNF", "IL1B", "EGR2", "AREG", "DUSP2", "NR4A1", "TNFAIP2", "KYNU", "NAMPT", "PLAU", "ZC3H12A", "BCL3", "SGK1", "JUNB", "GADD45B", "PHLDA2", "ZFP36", "DUSP5", "ICOSLG", "CXCL10", "RIPK2", "IL15RA", "CXCL2", "SERPINB8", "DUSP1", "PTGS2", "SOCS3", "ABCA1", "NFKBIA", "SPHK1", "SERPINE1", "HES1", "IER2", "IRF1", "TRIP10", "GCH1", "TAP1", "LAMB3", "GADD45A", "PLAUR", "KLF4", "SERPINB2", "MXD1", "F2RL1", "NFKBIE", "F3", "REL", 
"YRDC", "VEGFA", "SNN", "SQSTM1", "SAT1", "NINJ1", "MAP3K8", "PLK2", "IFIT2", "BIRC3", "BTG3", "NR4A2", "EHD1", "SLC16A6", "BHLHE40")	c("CCL20", "PTX3", "BCL2A1", "CXCL11", "TNFRSF9", "IL1B", "TNFAIP6", "G0S2", "CXCL3", "CXCL2", "TNF", "MSC", "CD80", "ICAM1", "CD83", "CXCL10", "IL6", "FJX1", "SLC2A3", "IL7R", "SLC16A6", "IL1A", "CSF2", "CCL4", "GPR183", "KLF2", "ZC3H12A", "PLEK", "TNFAIP2", "BIRC3", "DUSP2", "PDE4B", "EGR2", "TAP1", "OLR1", "KLF6", "JUN", "CXCL1", "TNFAIP3")	c("TNFRSF9", "CD69", "EDN1", "SIK1", "SERPINB2", "EGR3", "FOSB", "CSF2", "PLAUR", "LIF", "KLF2", "IL1B", "SERPINE1", "CXCL1", "FOSL1", "CCL2", "TNFSF9", "PHLDA2", "FOS", "G0S2", "CCL4", "ATF3", "GFPT2", "CLCF1", "LDLR", "EGR2", "NR4A3", "SOCS3", "EGR1", "NR4A1", "IL6", "PDE4B", "CCN1", "CXCL6", "FJX1", "TUBB2A", "DNAJB4", "TNFAIP3", "JUN", "CD44", "IL1A", "KLF6", "DUSP2", "LAMB3", "RELB", "MYC", "GADD45A", "PMEPA1", "BCL2A1", "CCND1", "ZFP36")	c("CXCL11", "INHBA", "CCL4", "PTX3", "TNFAIP6", "CXCL10", "OLR1", "IL1B", "MSC", "IL12B", "G0S2", "PDE4B", "CCL2", "SERPINE1", "SLC2A3", "BCL2A1", "FOS", "EGR3", "FOSB", "PLEK", "EGR2", "EGR1", "CCL5", "BTG2", "SLC16A6", "IL1A", "TNFRSF9", "NR4A3", "GEM", "KLF2", "PLAUR", "KDM6B", "GFPT2", "IFIT2", "CD80", "TRAF1", "IL6", "CD83", "SERPINB2", "PFKFB3", "DUSP1", "CCRL2", "PTPRE", "GPR183", "PTGS2", "IL7R", "PMEPA1", "CD69", "SOCS3", "SIK1")	c("SIK1", "CXCL11", "FOSB", "EGR3", "NR4A3", "FOS", "EGR2", "IL6", "NR4A1", "EGR1", "ATF3", "CXCL10", "FOSL1", "AREG", "IL1B", "HBEGF", "CD83", "IL1A", "TNFRSF9", "PTGS2", "KLF2", "DUSP1", "CXCL6", "EDN1", "CCL2", "CXCL1", "SERPINE1", "DNAJB4", "OLR1", "SOCS3", "TIPARP", "IL12B", "PHLDA2", "CCL4", "SLC16A6", "JUN", "CCN1", "LIF", "PLAUR", "BCL2A1", "MYC", "DUSP2", "PPP1R15A", "CXCL2", "TRIB1", "IRS2", "MAFF", "DUSP5", "IL7R", "PHLDA1", "GEM", "ZFP36", "CD80", "GADD45A", "SLC2A3", "PDE4B", "DUSP4", 
"SERPINB2", "CCL20", "PMEPA1", "BTG2", "TRAF1", "G0S2", "CXCL3", "CLCF1", "NR4A2", "LAMB3", "BMP2", "NFIL3", "IER3", "CDKN1A")	c("TNFAIP6", "CCL20", "CSF2", "CD80", "TNF", "MSC", "SIK1", "BCL2A1", "ICAM1", "IL1B", "SLC2A3", "KYNU", "PLAUR", "PLAU", "RELB", "GPR183", "IL23A", "BCL3", "ICOSLG", "PLEK", "TNFAIP2", "ABCA1", "CD83", "EHD1", "SERPINB8", "IL15RA", "NFKB2", "NAMPT", "DUSP5", "BIRC3", "LIF", "CCRL2", "SERPINB2", "TNFRSF9", "TLR2", "IL7R", "PTPRE", "STAT5A", "NFKBIE", "KDM6B", "VEGFA", "CCL2", "SQSTM1", "REL", "TNIP1", "MAFF", "SAT1", "CXCL11", "DUSP4", "TRIP10", "NFAT5", "CD69")	c("TNFAIP6", "CXCL3", "CSF2", "CXCL1", "CXCL2", "CD69", "CCL4", "IL1B", "MSC", "IL23A", "CD80", "ICAM1", "CXCL6", "SLC2A3", "BCL2A1", "TNFSF9", "G0S2", "GEM", "TNFRSF9", "CCL20", "MAP3K8", "PLEK", "ZC3H12A", "BCL3", "GPR183", "PDE4B", "RELB", "ACKR3", "HBEGF", "IER3", "BTG3", "FOSL1", "PTGS2", "PLAUR", "VEGFA", "IRF1", "KLF10", "SPHK1", "CLCF1", "TNF", "IL7R", "LIF", "DUSP2", "FOS", "RIPK2", "ETS2", "NFKBIA", "PLAU", "CCRL2", "NR4A2", "EFNA1")	c("BMP2", "HBEGF", "PLAU", "FOSL1", "PHLDA1", "G0S2", "SERPINB2", "MYC", "IL1A", "SPHK1", "AREG", "ABCA1", "GFPT2", "MXD1", "LAMB3", "FJX1", "CXCL2", "REL", "GADD45A", "DUSP5", "EDN1", "KYNU", "EGR3", "CD44", "CCL20", "IER5", "PLAUR", "TNFSF9", "BCL2A1", "PHLDA2", "JAG1", "SOCS3", "PTGS2", "PLK2", "SERPINB8", "TRIP10", "NFIL3", "BHLHE40", "CCL2", "TNFAIP6", "JUNB", "NR4A2", "ICAM1", "SQSTM1", "EHD1", "BCL3", "NFKBIA", "CDKN1A", "SGK1", "RCAN1", "IFNGR2", "CXCL1", "EFNA1", "CD80", "ZC3H12A", "B4GALT1", 
